# Actuator to sensor matrix LABAO_S2
# One line of sensor movement per actuator 
  1.62   0.12  -0.16   0.06   0.67   1.59   0.43  -1.14  -0.07  -1.00   0.59   1.77   1.03  -0.99   0.07  -0.77   1.69   2.46   2.19  -3.16  -2.52  -1.15   1.67   1.30   0.47  -0.74  -1.36  -0.44   0.67   0.24  -0.21  -0.44   2.79   0.91   0.97   0.03   0.28   2.22   0.99   1.81   1.43   0.28   0.44   0.75   2.09   1.26   0.26   0.36  -0.48  -0.19  -0.74  -1.42  -0.21   0.50  -0.50  -0.81  -2.37  -1.86  -0.74  -0.83  -1.42  -1.68  -1.31  -0.98 
  1.31   0.21  -0.02   0.35   0.69   1.43   0.80  -0.22  -0.16  -1.19   0.71   1.66   1.52   0.34   0.21  -1.38   1.57   1.79   2.44   0.61  -4.08  -2.13   1.32   1.25   0.99   0.03  -1.25  -0.67   0.77   0.82   0.06  -0.41   2.22   0.98   1.29   0.13   0.21   1.70   1.20   1.81   1.87   0.71   0.37   0.53   1.41   1.30   0.66   0.88  -0.48  -0.07  -0.36  -1.44  -1.53  -0.10  -0.42  -0.62  -1.86  -2.76  -1.96  -1.42  -1.24  -1.74  -1.71  -1.64 
  1.20   0.19  -0.03   0.27   0.62   1.55   0.69  -0.45  -0.07  -1.10   0.53   1.42   0.95   0.20   0.17  -1.21   1.05   1.82   3.00  -0.14  -3.76  -2.14   1.85   2.17   2.67  -0.33  -3.15  -1.15   1.40   2.16  -0.22  -1.72   1.89   0.85   1.08   0.10   0.24   2.08   0.71   1.77   1.77   0.53   0.97   0.63   1.14   0.71   0.79   0.93   0.16   0.30   1.71   1.92   0.37   0.69  -0.30  -0.69  -1.13  -3.11  -1.70  -0.69  -1.75  -2.30  -2.51  -2.17 
  1.41   0.08  -0.15   0.03   0.66   1.45   0.17  -0.84  -0.08  -0.94   0.70   1.32   0.22  -0.41   0.06  -0.77   2.42   2.46   0.35  -2.31  -2.78  -1.63   2.84   4.45  -0.11  -3.01  -2.34  -0.80   2.67   0.09  -0.87  -1.70   2.72   0.80   1.01   0.06   0.39   2.72   0.84   1.54   1.44   0.35   1.56   1.28   1.43   0.50   0.39   0.54   0.16   1.98   3.75   1.78   0.52   1.15  -0.34  -1.71  -2.19  -2.00  -0.61  -0.22  -3.26  -3.49  -2.32  -1.38 
  0.87  -0.00  -0.21   0.06   0.50   1.25  -0.26  -1.01   0.03  -0.66   0.70   0.82  -0.76  -0.48   0.06  -0.40   1.79   1.46  -1.65  -2.01  -1.33  -0.64   1.69   1.81  -0.93  -1.36  -0.77  -0.32   0.75  -0.56  -0.39  -0.44   1.85   0.59   0.75  -0.01   0.35   2.90   0.76   0.86   0.82  -0.07   1.49   1.31   1.01   0.35   0.14   0.18   0.01   0.35   0.85  -0.03   0.04   0.27  -0.63  -2.04  -1.47  -0.89  -0.19  -0.16  -1.51  -1.31  -1.01  -0.38 
  1.34  -0.02  -0.38  -0.32   0.94   1.76  -0.90  -1.70   0.02  -0.85   1.30   2.27  -1.22  -0.78   0.02  -0.51   1.89   1.27  -0.91  -2.02  -1.26  -0.52   1.18   0.39  -0.23  -0.29  -0.99  -0.27   0.33  -0.10  -0.21  -0.26   2.47   1.20   0.93  -0.02   0.32   2.51   1.77   1.44   1.11   0.10   0.75   0.41  -0.10   0.29   0.05   0.13  -0.77  -0.87  -1.25  -1.42  -0.17  -0.00  -0.69  -1.31  -1.14  -0.42  -0.21  -0.48  -0.96  -1.07  -0.50  -0.36 
  1.90   0.30  -0.20  -0.13   1.03   2.18   1.02  -1.36  -1.52  -1.22   0.99   2.35   1.98  -1.03  -2.99  -1.21   1.61   1.13   0.85  -1.39  -2.27  -1.51   1.22   0.50   0.27  -0.30  -0.67  -0.34   0.46   0.92  -0.17  -0.31   2.60   1.61   1.28   0.14   0.19   2.14   2.08   3.36   1.62   0.75   0.13   0.01  -0.49  -1.10  -0.19   0.18  -0.79  -0.56  -1.83  -2.93  -1.47   0.21  -0.55  -1.07  -1.59  -1.72  -0.84  -1.21  -0.69  -1.52  -0.72  -0.67 
  1.48   0.30   0.19   0.49   0.64   1.69   0.97   0.30   0.35  -0.99   0.41   1.22   1.54   2.00   0.14  -2.30   0.62   0.78   1.07   1.65   1.26  -3.02   0.81   0.50   0.78   1.16   0.48  -0.69   0.56   0.98   0.69  -0.00   2.09   0.80   1.24   0.26   0.19   1.88   0.90   1.91   2.50   1.55   0.11   0.18   0.14   0.58   1.66   2.46   0.01  -0.02  -0.41  -1.18  -2.02  -1.16  -0.24  -0.56  -0.48  -1.52  -2.48  -2.97  -0.48  -1.34  -1.23  -1.71 
  1.39   0.19   0.12   0.30   0.47   1.47   0.66   0.11   0.13  -0.87   0.37   0.92   0.78   1.60   0.31  -1.54   0.66   0.84   1.36   2.44  -0.79  -3.54   0.92   1.04   2.23   2.54  -0.32  -3.05   0.83   1.85   1.64  -0.09   2.05   0.65   0.87   0.20   0.14   1.88   0.47   1.27   1.91   0.82   0.16   0.34   0.56   1.21   2.25   2.16   0.13   0.22   0.36   1.03   2.41   2.10  -0.16  -0.22  -0.21  -1.84  -2.94  -1.76  -0.56  -1.62  -2.16  -3.27 
  0.75   0.10   0.01   0.23   0.28   0.77   0.71   0.28   0.39  -0.72   0.25   0.40   0.37   0.26   0.19  -0.51   0.48   0.54   0.62   0.55  -1.40  -1.18   0.71   0.73   1.74   1.75  -1.67  -1.72   0.83   2.76   1.90  -1.81   1.24   0.31   0.71   0.08   0.14   1.08   0.23   0.48   1.25  -0.06   0.24   0.28   0.44   0.33   0.97   0.70   0.13   0.26   0.35   1.05   1.57   0.97  -0.03   0.10   0.26   0.72   0.61   0.23  -0.40  -1.03  -1.78  -2.04 
